지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,생산능력지수,가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정),가동률지수(계절조정)
산업별,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12
제조업,102.8,102.2,102.2,101.9,101.7,101.9,101.6,101.8,101.9,101.8,101.8,102,100.4,92.8,109.6,104.3,102.9,108.5,107.4,101.2,102.7,105.8,110.5,116.8,102.1,107.5,105.2,102.9,102.9,103.2,104.4,105.6,104.5,105,106.9,111.7
식료품 제조업,99.9,99.3,98.8,99.1,99,98.9,98,98,97.8,97.7,97.4,97.1,103.1,88.7,102.6,101.2,98.7,102.2,102.5,100.4,101.6,103.7,107.4,113.6,98.4,102.7,100.5,99.8,100.2,99.8,101,101.2,102.8,103.7,105.7,109.4
음료 제조업,101.2,101.2,101.3,101.9,101.7,101.9,101.3,100.6,100.6,100.7,100.3,98.6,87.6,84.9,101.6,101.5,98.2,106.4,103.1,105,98.1,96,99.7,100.6,92.2,99.8,99.5,98.9,95.5,93.3,92,98.6,98.1,101.2,103.5,111.6
담배 제조업,100,100,100,100,100,100,100,100,100,100,100,100,94.2,83.5,106.7,104,94.1,100.6,90.2,84.7,81.9,93.1,107.7,77.9,95,99.6,100,100.5,97.9,90.3,78.2,90.2,84.5,95.9,97.5,92.5
섬유제품 제조업; 의복 제외,99.8,97.5,96.4,95.4,95.4,95.2,95.2,94.3,93.9,92.6,92.2,91.8,98.9,87.7,114.2,110.3,105.6,110.1,111.7,96.3,96.3,108.2,116.5,114.5,100.9,103.1,105.6,105.4,102.5,106,110,103.2,100.2,104.4,112,113.5
"가죽, 가방 및 신발 제조업",96.5,93.8,96.6,98.1,97.3,96.7,94.6,95,91.9,94.4,95,91.7,95.9,88.2,97.4,105,96.2,115.9,106.5,98.6,98.9,88.6,104.9,120.1,95.2,97.3,85.6,101,100.5,116.2,104,102.4,100.5,86.2,107.6,119.5
목재 및 나무제품 제조업; 가구 제외,99.8,99.9,97.4,92.2,91,89.3,86.3,86,85.9,85.6,86.1,86.3,97.1,92.1,114,112.1,110.3,113.7,115.4,103.8,102.4,112.8,121.5,118.3,101.5,106.3,108.7,108.1,109.6,109.6,111.2,108.6,107.8,111.1,113.8,114
"펄프, 종이 및 종이제품 제조업",99.1,99.3,97.4,95.5,95.6,95.5,95.2,95.1,94.5,93.5,93.9,94.3,104.7,95.7,111.4,107.8,104.7,107.4,107.4,103.6,101.7,110,113,115.6,101.2,107.2,106.5,107.1,105.5,107.3,106.2,106.6,106.3,108.7,109.7,109.9
"코크스, 연탄 및 석유정제품 제조업",101.3,101.3,102,102,102,102,101.9,101.9,101.9,101.9,101.9,101.9,99.2,94.9,98.2,99.8,103.4,96.4,102.1,106.1,100.2,105.5,104.3,110.9,97.9,100.3,97.6,102.8,104.9,100.2,99.1,102.7,102.6,104.6,103.6,104.7
화학 물질 및 화학제품 제조업; 의약품 제외,99.3,98.9,99.4,99.5,99.2,99.7,99.6,100.2,100.2,100.1,100.4,100.5,108.1,106.2,116.7,108.1,107.2,111.3,108.3,106.5,107.9,99.2,101,117.6,105.8,117,111.2,106.2,105.9,108.5,106.4,107.8,109,101.6,102.8,117.1
고무 및 플라스틱제품 제조업,99.7,98.2,97,96,95.7,95,94.8,94.3,94.3,93.7,93,92.6,104.9,95.2,116.9,112.3,106.5,112.5,110.6,102.3,102.9,109.6,111.9,109.2,105.5,110,110.4,107.4,105.5,106.5,106.7,107.5,108,107,108,110.9
비금속 광물제품 제조업,102,99.8,99.5,98.1,98.3,97.6,97,97.1,96.9,96.3,96.3,95.9,84.1,82.3,109.4,113,107.2,114.9,106.5,98.9,100.7,112.5,121,117.7,105.8,114,105.5,103.8,99.6,101.1,105.7,103.4,104.7,105.4,108.2,110.9
1차 금속 제조업,99.4,99.3,99.3,99.3,99.4,99.4,99.4,99.4,99.5,99.5,99.5,99.5,105.8,96.7,108,107,106.9,106.1,109.3,105.5,103,104,106.9,106.6,102.3,107,104.1,106.3,105.4,105.3,106.6,108.3,106.6,103.7,105.6,103.9
금속 가공제품 제조업; 기계 및 가구 제외,96.6,96.1,95.4,92.8,90.9,89.8,88,87.6,86.9,85.4,86.3,85.9,102,90.5,110.5,112.1,109.4,117,113.9,99.2,101.8,110.6,118,120.3,102.9,108.7,105.7,108,109,109.9,109.9,108,106.8,109.3,109.3,115.3
"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",110.4,109.9,109.6,110,109.9,110.9,111.2,112.4,112.9,113.6,113.5,114,95,90.6,104.5,92.7,99.8,103.4,105.5,108.6,110.9,111,111.9,118.7,98.7,105.3,103.3,96.2,100.1,99.9,103,106.2,107.1,106.6,110.1,115.1
"의료, 정밀, 광학 기기 및 시계 제조업",98.9,99.9,99.2,100.1,101.1,101,100.9,100.6,100.9,100.9,100.6,100.5,102.7,93.6,121,115.8,113.7,120.3,120.3,101.9,102.6,105.7,119.2,118.9,104.2,109.5,114.8,112.1,116.5,113,115.5,109.2,103.7,108.1,112.2,114.3
전기장비 제조업,101.1,100,99.5,99,98.6,98.7,98.2,98.8,98.1,97.7,97.8,98.3,100.8,93.1,111.8,106.5,104.6,110.5,111.3,103.8,102.7,108.8,114.1,120.5,105.5,106.7,108.2,107.7,107.6,106,108.2,109,102.6,107.2,107.3,112.3
기타 기계 및 장비 제조업,102,101.8,102,101.6,101.5,101.3,100.8,100.6,100.5,100,99.7,100.4,97.9,93.3,112.6,111.4,107.2,117.1,109,93.4,99.3,103.2,113.2,130.2,101.8,107.5,104.8,107.4,105.6,108.2,107.2,106.4,105.2,108.4,109.9,114.3
자동차 및 트레일러 제조업,101.8,101.6,103.5,103.7,103.7,103.7,104.1,103.8,103.8,103.9,103.9,104.6,107.4,92.8,116.2,111.8,95.2,110.3,104,84.7,85.3,95.9,106.6,111.7,110.1,112,107.4,104.4,97.9,97.5,98.4,102.3,92.1,97.7,97.1,102.2
기타 운송장비 제조업,99.2,97,96.6,96.7,96.6,96.3,95,95.1,95,95.8,96.3,96.4,100.9,82.8,98.4,96.2,94.8,101.7,106,84,99.7,106.9,110.4,122.8,94.7,95.6,94.8,93,93.8,96.1,101.5,97.7,107.4,108.3,106.8,112.6
가구 제조업,97.8,97.7,97.6,95.1,94.5,94,90,89.1,88.5,88.9,88.8,87.1,112,104.2,117.7,112.6,100.7,98.3,96.4,96.3,94.4,98.9,104.4,114,111.8,109.4,107,110.8,106.6,100.8,101.4,102.5,103.2,98.7,99.9,100
기타 제품 제조업,101.3,101.8,101.2,101.5,101.5,101.6,101.5,101.5,102.8,101.5,102,103,84.6,81.1,106.7,106.6,107.2,111.3,104.5,90.6,91.7,103.4,111.8,109.1,93.3,93.6,99.6,96.7,101.8,103.2,103.8,99.1,100.4,100.5,102,107.5
